case,seed,drift_type,magnitude,rho,pattern,detector,view,rule,false_alarms_per_1k_stream_steps,p_any_false_alarm_per_window,fdp,precision,recall,f1,mean_delay,degraded_per_drift
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,KS,остатки,bh_window,0.0,0.0,0.0,0.8333333333333334,0.5,0.625,653.8333333333334,1013.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,ADWIN,сырые,uncorrected,0.2957446808510638,0.9787234042553191,0.9328859060402684,0.06711409395973154,1.0,0.12578616352201258,153.1,153.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,ADWIN,сырые,bonferroni,0.006382978723404255,0.06382978723404255,0.25,0.6666666666666666,0.8,0.7272727272727272,392.55555555555554,473.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,ADWIN,сырые,bh_window,0.010638297872340425,0.0851063829787234,0.35714285714285715,0.5714285714285714,0.8,0.6666666666666666,370.3333333333333,453.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,ADWIN,сырые,LORD++,0.0,0.0,0.0,0.75,0.6,0.6666666666666665,670.375,873.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,ADWIN,остатки,bonferroni,0.010638297872340425,0.10638297872340426,0.35714285714285715,0.5714285714285714,0.8,0.6666666666666666,459.22222222222223,533.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,ADWIN,остатки,bh_window,0.01276595744680851,0.1276595744680851,0.4,0.5333333333333333,0.8,0.64,425.8888888888889,503.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,uncorrected,0.3617021276595745,0.9574468085106383,0.9444444444444444,0.05555555555555555,1.0,0.10526315789473684,163.1,163.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,bonferroni,0.006382978723404255,0.0425531914893617,0.25,0.6666666666666666,0.8,0.7272727272727272,455.3333333333333,583.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,bh_window,0.00851063829787234,0.0425531914893617,0.2857142857142857,0.6428571428571429,0.9,0.75,393.1,393.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2093.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(1),остатки,bonferroni,0.0,0.0,0.0,0.8571428571428571,0.6,0.7058823529411764,432.85714285714283,813.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(1),остатки,bh_window,0.002127659574468085,0.02127659574468085,0.125,0.75,0.6,0.6666666666666665,375.7142857142857,773.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,uncorrected,0.17872340425531916,0.7446808510638298,0.8936170212765957,0.10638297872340426,1.0,0.1923076923076923,353.1,353.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bonferroni,0.0,0.0,0.0,0.8888888888888888,0.8,0.8421052631578948,670.3333333333334,723.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bh_window,0.0,0.0,0.0,0.8888888888888888,0.8,0.8421052631578948,670.3333333333334,723.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2093.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bonferroni,0.0,0.0,0.0,0.875,0.7,0.7777777777777777,725.0,873.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bh_window,0.0,0.0,0.0,0.7777777777777778,0.7,0.7368421052631577,759.2222222222222,803.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,PH river по умолчанию,сырые,порог,0.874468085106383,1.0,0.9762470308788599,0.023752969121140142,1.0,0.04640371229698376,143.1,143.1
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,PH,сырые,uncorrected,0.10851063829787234,0.5106382978723404,0.8360655737704918,0.14754098360655737,0.9,0.2535211267605634,401.4,401.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,PH,сырые,bonferroni,0.0,0.0,0.0,0.875,0.7,0.7777777777777777,501.625,651.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,PH,сырые,bh_window,0.0,0.0,0.0,1.0,0.8,0.888888888888889,439.125,601.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,PH,сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2241.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,PH,остатки,bonferroni,0.0,0.0,0.0,0.8571428571428571,0.6,0.7058823529411764,546.4285714285714,791.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,PH,остатки,bh_window,0.0,0.0,0.0,1.0,0.7,0.8235294117647058,475.0,741.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,KS,сырые,uncorrected,0.13404255319148936,0.723404255319149,0.863013698630137,0.136986301369863,1.0,0.24096385542168672,311.4,311.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,KS,сырые,bonferroni,0.0,0.0,0.0,1.0,0.6,0.7499999999999999,529.1666666666666,1031.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,KS,сырые,bh_window,0.00425531914893617,0.0425531914893617,0.25,0.75,0.6,0.6666666666666665,512.5,1021.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,KS,сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2241.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,KS,остатки,bonferroni,0.0,0.0,0.0,1.0,0.6,0.7499999999999999,562.5,1051.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,KS,остатки,bh_window,0.006382978723404255,0.06382978723404255,0.3333333333333333,0.6666666666666666,0.6,0.631578947368421,529.1666666666666,1031.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,ADWIN,сырые,uncorrected,0.32127659574468087,0.9574468085106383,0.94375,0.05625,0.9,0.10588235294117647,117.0,251.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,ADWIN,сырые,bonferroni,0.01276595744680851,0.1276595744680851,0.42857142857142855,0.5,0.7,0.5833333333333334,476.625,631.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,ADWIN,сырые,bh_window,0.01276595744680851,0.0851063829787234,0.42857142857142855,0.5,0.7,0.5833333333333334,476.625,631.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,ADWIN,сырые,LORD++,0.002127659574468085,0.02127659574468085,0.16666666666666666,0.3333333333333333,0.2,0.25,973.8,1391.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,ADWIN,остатки,bonferroni,0.010638297872340425,0.10638297872340426,0.4166666666666667,0.5,0.6,0.5454545454545454,489.2857142857143,751.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,ADWIN,остатки,bh_window,0.010638297872340425,0.0425531914893617,0.4166666666666667,0.5,0.6,0.5454545454545454,489.2857142857143,751.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,uncorrected,0.28297872340425534,0.9148936170212766,0.9300699300699301,0.06993006993006994,1.0,0.13071895424836602,171.4,171.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,bonferroni,0.00425531914893617,0.0425531914893617,0.2222222222222222,0.6666666666666666,0.6,0.631578947368421,323.2857142857143,781.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,bh_window,0.00425531914893617,0.0425531914893617,0.2,0.7,0.7,0.7,364.125,541.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2241.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(1),остатки,bonferroni,0.002127659574468085,0.02127659574468085,0.16666666666666666,0.6666666666666666,0.4,0.5,430.6,1041.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(1),остатки,bh_window,0.002127659574468085,0.02127659574468085,0.14285714285714285,0.7142857142857143,0.5,0.588235294117647,467.1666666666667,801.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,uncorrected,0.15106382978723404,0.723404255319149,0.8875,0.1,0.8,0.1777777777777778,415.8888888888889,691.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bonferroni,0.0,0.0,0.0,0.875,0.7,0.7777777777777777,576.625,711.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bh_window,0.0,0.0,0.0,1.0,0.8,0.888888888888889,389.125,561.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2241.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bonferroni,0.0,0.0,0.0,0.8571428571428571,0.6,0.7058823529411764,717.8571428571429,911.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bh_window,0.0,0.0,0.0,1.0,0.7,0.8235294117647058,432.14285714285717,711.4
"abrupt, Δ=0.5, ρ=0, scattered",1001,abrupt,0.5,0.0,scattered,PH river по умолчанию,сырые,порог,0.7553191489361702,1.0,0.9726027397260274,0.0273972602739726,1.0,0.05333333333333332,161.4,161.4
"abrupt, Δ=0.5, ρ=0, clustered",1004,abrupt,0.5,0.0,clustered,PH,сырые,uncorrected,0.09787234042553192,0.46808510638297873,0.8363636363636363,0.16363636363636364,0.9,0.27692307692307694,209.55555555555554,383.5
"abrupt, Δ=0.5, ρ=0, clustered",1004,abrupt,0.5,0.0,clustered,PH,сырые,bonferroni,0.002127659574468085,0.02127659574468085,0.09090909090909091,0.7272727272727273,0.8,0.761904761904762,613.5,613.5
