n_streams,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
100,uncorrected,0.1,0,4368,4351,117,107,10,0.9145299145299145,0.024592047805102275,2.276595744680851,0.6595744680851063,0.2276595744680851,4392.523364485981,10,10,0.0,114.0,115.0,114.0
100,uncorrected,0.2,0,4093,4077,214,204,10,0.9532710280373832,0.05003679175864607,4.340425531914893,0.8297872340425532,0.4340425531914894,2303.921568627451,10,10,0.0,114.0,115.0,114.0
100,bh_window,0.0001,0,4673,4598,9,0,9,0.0,0.0,0.0,0.0,0.0,inf,10,9,0.09999999999999998,391.44444444444446,407.0,694.0
100,bh_window,0.001,0,4670,4619,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,454.0,315.0,454.0
100,bh_window,0.01,0,4670,4640,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,244.0,219.0,244.0
100,bh_window,0.05,0,4670,4641,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,234.0,219.0,234.0
100,bh_window,0.1,0,4664,4638,12,2,10,0.16666666666666666,0.00043122035360068997,0.0425531914893617,0.02127659574468085,0.00425531914893617,235000.0,10,10,0.0,204.0,211.0,204.0
100,bh_window,0.2,0,4661,4635,13,3,10,0.23076923076923078,0.0006472491909385113,0.06382978723404255,0.06382978723404255,0.006382978723404255,156666.66666666666,10,10,0.0,224.0,215.0,224.0
100,LOND,0.0001,0,4691,4516,3,0,3,0.0,0.0,0.0,0.0,0.0,inf,10,3,0.7,855.3333333333334,357.0,1694.0
100,LOND,0.001,0,4683,4547,6,0,6,0.0,0.0,0.0,0.0,0.0,inf,10,6,0.4,682.8333333333334,811.0,1304.0
100,LOND,0.01,0,4679,4579,7,0,7,0.0,0.0,0.0,0.0,0.0,inf,10,7,0.30000000000000004,373.14285714285717,361.0,944.0
100,LOND,0.05,0,4673,4600,9,0,9,0.0,0.0,0.0,0.0,0.0,inf,10,9,0.09999999999999998,369.22222222222223,361.0,674.0
100,LOND,0.1,0,4673,4600,9,0,9,0.0,0.0,0.0,0.0,0.0,inf,10,9,0.09999999999999998,369.22222222222223,361.0,674.0
100,LOND,0.2,0,4670,4615,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,494.0,338.0,494.0
100,bonferroni,0.0001,0,4679,4582,7,0,7,0.0,0.0,0.0,0.0,0.0,inf,10,7,0.30000000000000004,330.2857142857143,361.0,914.0
100,bonferroni,0.001,0,4670,4615,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,494.0,338.0,494.0
100,bonferroni,0.01,0,4670,4640,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,244.0,219.0,244.0
100,bonferroni,0.05,0,4670,4641,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,234.0,219.0,234.0
100,bonferroni,0.1,0,4664,4637,12,2,10,0.16666666666666666,0.00043131334914815614,0.0425531914893617,0.0425531914893617,0.00425531914893617,235000.0,10,10,0.0,214.0,215.0,214.0
100,bonferroni,0.2,0,4661,4635,13,3,10,0.23076923076923078,0.0006472491909385113,0.06382978723404255,0.06382978723404255,0.006382978723404255,156666.66666666666,10,10,0.0,224.0,215.0,224.0
100,LORD++,0.0001,2,4673,4583,9,0,9,0.0,0.0,0.0,0.0,0.0,inf,10,9,0.09999999999999998,750.0,495.0,837.8
100,LORD++,0.001,2,4670,4598,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,657.8,411.5,657.8
100,LORD++,0.01,2,4670,4630,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,337.8,323.5,337.8
100,LORD++,0.05,2,4670,4636,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,277.8,247.0,277.8
100,LORD++,0.1,2,4670,4638,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,257.8,232.0,257.8
100,LORD++,0.2,2,4667,4636,11,1,10,0.09090909090909091,0.00021570319240724764,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,247.8,231.5,247.8
100,uncorrected,0.0001,2,4667,4638,11,1,10,0.09090909090909091,0.00021561017680034498,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,227.8,227.5,227.8
100,uncorrected,0.001,2,4667,4643,11,1,10,0.09090909090909091,0.00021537798836958864,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,177.8,176.0,177.8
100,uncorrected,0.01,2,4635,4616,26,16,10,0.6153846153846154,0.0034662045060658577,0.3404255319148936,0.2765957446808511,0.03404255319148936,29375.0,10,10,0.0,127.8,131.5,127.8
100,uncorrected,0.05,2,4499,4481,73,63,10,0.863013698630137,0.014059361749609462,1.3404255319148937,0.6170212765957447,0.13404255319148936,7460.31746031746,10,10,0.0,147.8,131.5,147.8
