rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
0.6,bonferroni,0.05,5,9340,9288,20,0,20,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,inf,20,20,0.0,200.65,198.0,200.65,inf
0.6,bh_window,0.05,5,9340,9289,20,0,20,0.0,0.0,0.0,0.39215686274509803,0.0,0.0,0.0,inf,20,20,0.0,195.65,193.0,195.65,inf
0.6,e_bh,0.05,5,9349,9202,17,0,17,0.0,0.0,0.0,0.11564625850340136,0.0,0.0,0.0,inf,20,17,0.15000000000000002,501.29411764705884,348.0,675.65,inf
0.6,uncorrected,0.05,8,9181,9142,73,53,20,0.726027397260274,0.2865248226950355,0.005797418507985124,0.5128205128205128,1.127659574468085,0.3617021276595745,0.05638297872340425,17735.849056603773,20,20,0.0,135.85,131.0,135.85,130.5546489260491
0.6,bonferroni,0.05,8,9340,9280,20,0,20,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,inf,20,20,0.0,240.85,231.0,240.85,inf
0.6,bh_window,0.05,8,9340,9284,20,0,20,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,inf,20,20,0.0,220.85,223.5,220.85,inf
0.6,e_bh,0.05,8,9358,9133,14,0,14,0.0,0.0,0.0,0.06222222222222222,0.0,0.0,0.0,inf,20,14,0.30000000000000004,740.4285714285714,625.5,1065.85,inf
0.6,uncorrected,0.05,7,8694,8663,240,220,20,0.9166666666666666,0.6341802405632193,0.025395359575204893,0.6451612903225806,4.680851063829787,0.6808510638297872,0.23404255319148937,4272.727272727273,20,20,0.0,108.35,109.5,108.35,39.43449259554475
0.6,bonferroni,0.05,7,9337,9292,21,1,20,0.047619047619047616,0.02127659574468085,0.00010761945759793371,0.4444444444444444,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,178.35,183.5,178.35,5270.53546397533
0.6,bh_window,0.05,7,9145,9099,85,65,20,0.7647058823529411,0.041908446163765316,0.0071436421584789534,0.43478260869565216,1.3829787234042554,0.0425531914893617,0.06914893617021277,14461.538461538461,20,20,0.0,183.35,185.0,183.35,78.87394852216232
0.6,e_bh,0.05,7,9340,9239,20,0,20,0.0,0.0,0.0,0.19801980198019803,0.0,0.0,0.0,inf,20,20,0.0,458.35,405.0,458.35,inf
0.6,uncorrected,0.05,9,9217,9183,61,41,20,0.6721311475409836,0.23823800313162016,0.004464771861047588,0.5882352941176471,0.8723404255319149,0.2765957446808511,0.043617021276595745,22926.829268292684,20,20,0.0,108.4,108.5,108.4,211.50211502115022
0.6,bonferroni,0.05,9,9340,9283,20,0,20,0.0,0.0,0.0,0.3508771929824561,0.0,0.0,0.0,inf,20,20,0.0,223.4,216.0,223.4,inf
0.6,bh_window,0.05,9,9340,9283,20,0,20,0.0,0.0,0.0,0.3508771929824561,0.0,0.0,0.0,inf,20,20,0.0,223.4,216.0,223.4,inf
0.6,e_bh,0.05,9,9367,9108,11,0,11,0.0,0.0,0.0,0.04247104247104247,0.0,0.0,0.0,inf,20,11,0.44999999999999996,1116.4545454545455,1014.0,1233.4,inf
