n_streams,scenario,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,fdp,window_fdp,mdr,mean_delay
500,1 event,storey_bh,0.1,0.10787234042553191,157.66666666666666,0.4474034105946423,0.0465242571055641,0.0,157.66666666666666
500,1 event,storey_bh,0.2,0.17390070921985815,139.33333333333334,0.5559789979275102,0.042750422246126414,0.0,139.33333333333334
500,1 event,uncorrected,1e-05,0.00014184397163120567,450.3333333333333,0.0033168316831683167,0.0070921985815602835,0.02833333333333334,389.09699633920064
500,1 event,uncorrected,0.0001,0.0003546099290780142,271.3333333333333,0.008060421426758061,0.01773049645390071,0.0,271.3333333333333
500,1 event,uncorrected,0.001,0.004539007092198581,206.5,0.08489666812660239,0.13132795304475423,0.0,206.5
500,1 event,uncorrected,0.01,0.03645390070921986,165.66666666666666,0.36647811424903054,0.4537042962014966,0.003333333333333336,158.37878787878788
500,1 event,uncorrected,0.05,0.11914893617021276,144.83333333333334,0.6568603268878955,0.7258827994675259,0.003333333333333336,137.17171717171718
500,1 event,uncorrected,0.1,0.2148936170212766,131.83333333333334,0.7980387031757719,0.8935476979462638,0.001666666666666668,129.22390572390574
500,1 event,uncorrected,0.2,0.45141843971631207,128.83333333333334,0.9049777864129994,0.9415440363691792,0.0,128.83333333333334
500,2 events,BatchBH,1e-05,0.0,2087.0,0.0,0.0,0.8683333333333333,798.188074074074
500,2 events,BatchBH,0.0001,0.0,1778.1666666666667,0.0,0.0,0.6733333333333333,701.4260897260897
500,2 events,BatchBH,0.001,0.0,1206.5,0.0,0.0,0.3466666666666667,694.0567977572304
500,2 events,BatchBH,0.01,0.0,687.0,0.0,0.0,0.1166666666666667,476.55090816335047
500,2 events,BatchBH,0.05,0.0,461.0,0.0,0.0,0.03833333333333335,403.02033447721016
500,2 events,BatchBH,0.1,7.092198581560284e-05,410.5,0.0016666666666666668,0.0035460992907801418,0.031666666666666676,359.43694234006733
500,2 events,BatchBH,0.2,0.00014184397163120567,342.3333333333333,0.0032679738562091504,0.0035460992907801418,0.016666666666666663,311.2467834960071
500,2 events,LORD++,1e-05,0.0,1673.1666666666667,0.0,0.0,0.5783333333333333,743.2804927952635
500,2 events,LORD++,0.0001,0.0,1073.5,0.0,0.0,0.20833333333333334,773.4745659389246
500,2 events,LORD++,0.001,0.0,551.5,0.0,0.0,0.09000000000000002,375.2696983438541
500,2 events,LORD++,0.01,0.00014184397163120567,333.8333333333333,0.0033003300330033004,0.00014967302201344753,0.01833333333333335,302.9929120975629
500,2 events,LORD++,0.05,0.0005673758865248227,274.0,0.012701936120360094,0.00046244029526704296,0.001666666666666668,270.2853535353535
500,2 events,LORD++,0.1,0.0013475177304964538,255.33333333333334,0.02748449807273337,0.00153993042980554,0.0,255.33333333333334
500,2 events,LORD++,0.2,0.0033333333333333335,243.66666666666666,0.06113478611554954,0.007526133304116653,0.0,243.66666666666666
500,2 events,bh_window,1e-05,0.0,1166.1666666666667,0.0,0.0,0.32166666666666666,645.9492441949922
500,2 events,bh_window,0.0001,0.0,694.5,0.0,0.0,0.14833333333333334,407.35746272149026
500,2 events,bh_window,0.001,0.00014184397163120567,395.6666666666667,0.0033003300330033004,0.00012678680945416804,0.041666666666666685,316.91083654596065
500,2 events,bh_window,0.01,0.0003546099290780142,234.66666666666666,0.008122342788247985,0.010803232723074386,0.001666666666666668,230.91666666666666
500,2 events,bh_window,0.05,0.005035460992907801,194.33333333333334,0.0791553195352215,0.021842694599401354,0.003333333333333336,188.3644781144781
500,2 events,bh_window,0.1,0.01106382978723404,177.66666666666666,0.1328585065540139,0.029962077186869048,0.001666666666666668,175.503367003367
500,2 events,bh_window,0.2,0.03049645390070922,152.5,0.28490047158309684,0.03566184074154733,0.0,152.5
500,2 events,bonferroni,1e-05,0.0,1625.5,0.0,0.0,0.5499999999999999,796.4204906529468
500,2 events,bonferroni,0.0001,0.0,1114.3333333333333,0.0,0.0,0.2816666666666667,653.1876664452324
500,2 events,bonferroni,0.001,0.0,642.3333333333334,0.0,0.0,0.09000000000000001,470.9254996303642
500,2 events,bonferroni,0.01,0.0002127659574468085,363.6666666666667,0.004918138872710801,0.010638297872340427,0.014999999999999994,335.736504279131
500,2 events,bonferroni,0.05,0.0003546099290780142,276.6666666666667,0.008060421426758061,0.01773049645390071,0.0050000000000000044,266.43999518999516
500,2 events,bonferroni,0.1,0.0011347517730496454,252.83333333333334,0.024940524606429804,0.046099290780141834,0.003333333333333336,245.33838383838383
500,2 events,bonferroni,0.2,0.002127659574468085,230.66666666666666,0.044337711715117446,0.07446808510638298,0.0,230.66666666666666
500,2 events,storey_bh,1e-05,0.0,1054.5,0.0,0.0,0.26166666666666666,644.6697334558379
500,2 events,storey_bh,0.0001,7.092198581560284e-05,627.8333333333334,0.0016666666666666668,3.655772464721795e-05,0.11166666666666668,421.0238097895501
500,2 events,storey_bh,0.001,0.00028368794326241134,388.6666666666667,0.006504533948540486,0.003712277141896449,0.040000000000000015,315.2310889956758
500,2 events,storey_bh,0.01,0.013404255319148935,244.33333333333334,0.1400318028225005,0.01935821416114405,0.003333333333333336,236.81802721088434
500,2 events,storey_bh,0.05,0.04148936170212766,200.66666666666666,0.317634873535026,0.030459375423955003,0.001666666666666668,196.8425925925926
500,2 events,storey_bh,0.1,0.08872340425531915,179.0,0.3716879875136756,0.03966814660704101,0.0,179.0
500,2 events,storey_bh,0.2,0.18822695035460993,168.83333333333334,0.5699466624530015,0.04745029967533778,0.0050000000000000044,163.76632302405497
500,2 events,uncorrected,1e-05,0.00014184397163120567,430.1666666666667,0.0033003300330033004,0.0070921985815602835,0.03000000000000001,373.91651439295816
500,2 events,uncorrected,0.0001,0.0003546099290780142,279.3333333333333,0.008060421426758061,0.01773049645390071,0.0050000000000000044,269.1389232460661
500,2 events,uncorrected,0.001,0.004468085106382979,205.83333333333334,0.08358079080350762,0.12772910582672786,0.0,205.83333333333334
500,2 events,uncorrected,0.01,0.03765957446808511,163.0,0.3843038811278074,0.4685886407273907,0.003333333333333336,157.8843537414966
500,2 events,uncorrected,0.05,0.12127659574468086,134.0,0.6728164221845505,0.7263906116482609,0.001666666666666668,131.4090909090909
