n_streams,scenario,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
500,sporadic,storey_bh,0.001,0,23200,22880,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,274.33,268.5,274.33
500,sporadic,storey_bh,0.01,0,23155,22877,115,16,99,0.1391304347826087,0.0152321083172147,0.000699392402850024,0.3404255319148936,0.0425531914893617,0.006808510638297872,146875.0,100,99,0.010000000000000009,225.66666666666666,220.0,235.33
500,sporadic,storey_bh,0.05,0,21952,21688,516,418,98,0.810077519379845,0.05820722873288581,0.019273330874216156,8.893617021276595,0.10638297872340426,0.1778723404255319,5622.00956937799,100,98,0.020000000000000018,206.12244897959184,196.5,224.33
500,sporadic,storey_bh,0.1,0,20626,20350,958,863,95,0.9008350730688935,0.12752817078878206,0.04240786240786241,18.361702127659573,0.19148936170212766,0.3672340425531915,2723.05909617613,100,95,0.050000000000000044,210.10526315789474,187.0,258.33
500,sporadic,storey_bh,0.2,0,18688,18448,1604,1507,97,0.9395261845386533,0.13970279422692292,0.08168907198612316,32.06382978723404,0.19148936170212766,0.6412765957446809,1559.389515593895,100,97,0.030000000000000027,200.9278350515464,177.0,230.33
500,sporadic,BatchBH,1e-05,0,23377,21487,41,0,41,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,41,0.5900000000000001,1492.6097560975609,1425.0,1844.33
500,sporadic,BatchBH,0.0001,0,23293,22164,69,0,69,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,69,0.31000000000000005,701.1304347826087,542.0,1083.33
500,sporadic,BatchBH,0.001,0,23248,22478,84,0,84,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,84,0.16000000000000003,534.9404761904761,421.0,724.33
500,sporadic,BatchBH,0.01,0,23212,22729,97,0,97,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,97,0.030000000000000027,407.2680412371134,348.0,437.33
500,sporadic,BatchBH,0.05,0,23200,22854,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,300.33,288.5,300.33
500,sporadic,BatchBH,0.1,0,23200,22869,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,285.33,278.5,285.33
500,sporadic,BatchBH,0.2,0,23200,22890,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,264.33,262.5,264.33
500,sporadic,bonferroni,1e-05,0,23298,22150,68,0,68,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,68,0.31999999999999995,704.9411764705883,477.5,1102.33
500,sporadic,bonferroni,0.0001,0,23239,22534,87,0,87,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,87,0.13,469.32183908045977,395.0,659.33
500,sporadic,bonferroni,0.001,0,23206,22767,99,0,99,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,99,0.010000000000000009,384.37373737373736,334.0,393.33
500,sporadic,bonferroni,0.01,0,23200,22882,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,272.33,271.5,272.33
500,sporadic,bonferroni,0.05,0,23200,22921,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,233.33,237.0,233.33
500,sporadic,bonferroni,0.1,0,23194,22936,102,2,100,0.0196078431372549,0.0243161094224924,8.719916288803627e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,100,100,0.0,212.33,207.0,212.33
500,sporadic,bonferroni,0.2,0,23190,22948,104,4,100,0.038461538461538464,0.0851063829787234,0.0001743071291615827,0.0851063829787234,0.0851063829787234,0.001702127659574468,587500.0,100,100,0.0,196.33,191.5,196.33
500,sporadic,LORD++,1e-05,1,23260,22322,80,0,80,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,80,0.19999999999999996,614.55,477.0,887.12
500,sporadic,LORD++,0.0001,1,23224,22645,92,0,92,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,92,0.07999999999999996,409.7282608695652,367.5,528.12
500,sporadic,LORD++,0.001,1,23206,22777,98,1,97,0.01020408163265306,0.00303951367781155,4.390393818325504e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,100,97,0.030000000000000027,322.55670103092785,302.0,378.12
500,sporadic,LORD++,0.01,1,23197,22892,101,1,100,0.009900990099009901,0.0026595744680851063,4.368338284116722e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,100,100,0.0,254.12,256.0,254.12
500,sporadic,LORD++,0.05,1,23149,22892,117,17,100,0.1452991452991453,0.02437137330754352,0.0007426175082998427,0.3617021276595745,0.06382978723404255,0.00723404255319149,138235.29411764705,100,100,0.0,206.12,196.5,206.12
500,sporadic,LORD++,0.1,1,23092,22842,136,36,100,0.2647058823529412,0.03295982569643611,0.0015760441292356187,0.7659574468085106,0.06382978723404255,0.015319148936170212,65277.77777777778,100,100,0.0,201.12,192.0,201.12
