window,min_p,n_below,n_streams,rho,seed
29,0.0009713172314779463,9,500,0.0,6
30,0.0012470100407837102,9,500,0.0,6
31,0.0007573031932077534,7,500,0.0,6
32,0.0009323111420439082,7,500,0.0,6
33,0.0011102551746846369,10,500,0.0,6
34,0.0007847548060750464,8,500,0.0,6
35,0.0001923177926563059,10,500,0.0,6
36,0.0018210718106088594,9,500,0.0,6
37,0.0006519512712008569,6,500,0.0,6
38,0.0006559019224225931,9,500,0.0,6
39,0.0029808899437297116,8,500,0.0,6
40,0.0022619784365055843,7,500,0.0,6
41,0.0015784282757050465,5,500,0.0,6
42,0.0007020325555585347,8,500,0.0,6
43,0.0008479651051077997,7,500,0.0,6
44,0.000629622731458528,8,500,0.0,6
45,0.0003459121781145685,7,500,0.0,6
46,0.0001128824611896717,8,500,0.0,6
0,0.0008606139373908587,5,500,0.0,5
1,0.0016724404022394766,7,500,0.0,5
2,0.0008028510948708136,6,500,0.0,5
3,0.00014870533333956264,8,500,0.0,5
4,0.00036773682674877276,7,500,0.0,5
5,0.001561777181245773,12,500,0.0,5
6,0.0003539654929180397,12,500,0.0,5
7,0.0005769341624108496,9,500,0.0,5
8,0.0010685218702826316,8,500,0.0,5
9,0.0013956385394044615,11,500,0.0,5
10,0.0007915212533166135,9,500,0.0,5
11,0.003087916289945465,6,500,0.0,5
12,0.0023746737880354827,8,500,0.0,5
13,0.0007141367258259222,6,500,0.0,5
14,0.0005294774726523405,6,500,0.0,5
15,0.0008467808793225156,5,500,0.0,5
16,0.00015899231846151483,4,500,0.0,5
17,8.199543268560828e-05,3,500,0.0,5
18,0.00028945676966776133,8,500,0.0,5
19,7.320190740068658e-05,9,500,0.0,5
20,0.00020886958288375242,10,500,0.0,5
21,3.9877110761216704e-05,8,500,0.0,5
22,0.00041612620849260096,9,500,0.0,5
23,0.0002079907372962859,9,500,0.0,5
24,0.00031734710893485993,12,500,0.0,5
25,0.00019158812221581502,10,500,0.0,5
26,2.818341862449318e-05,10,500,0.0,5
27,5.06118268775509e-05,9,500,0.0,5
28,0.00032374944675310176,5,500,0.0,5
29,0.00033054721658438605,7,500,0.0,5
30,0.0005528391713081516,5,500,0.0,5
31,0.001741742623225209,5,500,0.0,5
32,0.0042430631735468054,8,500,0.0,5
33,0.0017647478620927506,7,500,0.0,5
34,0.00045526771025393756,7,500,0.0,5
35,0.0010181451187953386,4,500,0.0,5
36,0.0015537299684749524,6,500,0.0,5
37,7.6172838560192274e-06,2,500,0.0,5
38,1.424538607967751e-05,3,500,0.0,5
39,1.2699211384524557e-05,4,500,0.0,5
40,1.7932448538576202e-05,4,500,0.0,5
41,2.5378512921606525e-05,5,500,0.0,5
42,0.00019511733271669103,4,500,0.0,5
43,0.00035421832586732315,6,500,0.0,5
44,0.0011444504640297922,6,500,0.0,5
45,0.0015225281708684275,7,500,0.0,5
46,0.0005211662735214201,7,500,0.0,5
0,0.0020158622509821177,4,500,0.0,4
1,0.006413701464997739,4,500,0.0,4
2,0.004039046829766941,4,500,0.0,4
3,0.0018557724336548138,5,500,0.0,4
4,0.003424414643897647,3,500,0.0,4
5,0.0014327561437778172,3,500,0.0,4
6,0.0010085158493042716,8,500,0.0,4
7,0.00264014646127814,5,500,0.0,4
8,0.005009697677167786,3,500,0.0,4
9,0.0014940944420765686,5,500,0.0,4
10,0.002633775503026579,4,500,0.0,4
11,0.0016274773142114292,5,500,0.0,4
12,0.00037191712306839134,4,500,0.0,4
13,0.00011742846709086435,3,500,0.0,4
14,6.589960751721272e-05,4,500,0.0,4
15,0.00034959513753339273,8,500,0.0,4
16,0.0003176181347772733,5,500,0.0,4
17,0.000920563219806966,6,500,0.0,4
18,0.0013038278685059733,6,500,0.0,4
19,0.0003267690040337865,5,500,0.0,4
20,0.0002457604797024999,5,500,0.0,4
21,0.0005538827587663215,6,500,0.0,4
22,0.0011701524446328844,4,500,0.0,4
23,0.0014257355916352194,6,500,0.0,4
24,0.0018048093500753854,6,500,0.0,4
25,0.0005041272728961638,10,500,0.0,4
26,0.0011715665823661913,10,500,0.0,4
27,0.0019118749778516278,4,500,0.0,4
28,0.00017037216907739105,3,500,0.0,4
29,0.0002135944107019922,4,500,0.0,4
30,0.0003052838992771271,6,500,0.0,4
31,0.000720621512649875,4,500,0.0,4
32,0.00020064801209249443,5,500,0.0,4
33,0.00022169855342220958,4,500,0.0,4
34,0.00020339632111893852,3,500,0.0,4
35,0.00010801773969449066,7,500,0.0,4
36,0.00010773667797562459,8,500,0.0,4
37,9.347740903070957e-05,10,500,0.0,4
38,0.0003588536191658743,10,500,0.0,4
39,0.0004714003294054342,8,500,0.0,4
40,0.0003324204905271915,5,500,0.0,4
41,0.000189257836102758,5,500,0.0,4
42,0.00035924503590265027,4,500,0.0,4
43,0.0009378204504665983,7,500,0.0,4
44,0.0011920221104387597,7,500,0.0,4
45,0.000846652752345713,4,500,0.0,4
46,0.0013267887820728398,4,500,0.0,4
0,0.0021272549938605354,3,500,0.0,7
1,0.0033859161588086816,3,500,0.0,7
2,0.007896292039277074,1,500,0.0,7
3,0.006127108060136506,1,500,0.0,7
4,0.0008680381075625278,3,500,0.0,7
5,0.0005354062548111514,6,500,0.0,7
6,0.00220300041136314,6,500,0.0,7
7,0.0014214524513751956,3,500,0.0,7
8,0.0036258499137564806,4,500,0.0,7
9,0.0005665430011480355,4,500,0.0,7
10,0.0018294291177476157,4,500,0.0,7
